close_date,amount,deal_name,deal_stage,email
2021-11-13,"$40,000",Judges - Enterprise Deal,Won,nicolebrewer@judges.com
2021-09-22,"$10,000",Patriots - Business Deal,Won,victoriacastelli@patriots.net
2021-11-19,"$40,000",Presidents - Enterprise Deal,Won,pearliesheridan@presidents.com
2021-11-29,"$10,000",Sailors - Business Deal,Won,josettesmith@sailors.co
2021-11-13,"$10,000",Hit Team - Business Deal,Lost,josephpajtas@hitteam.co
2021-11-03,"$10,000",Blaze - Business Deal,Won,angelohagood@blaze.ai
2021-09-29,"$40,000",Independence - Enterprise Deal,Won,coraward@independence.co
2021-09-18,"$10,000",Straight Shooters - Business Deal,Won,rubenbaker@straightshooters.ai
2021-09-27,"$10,000",Gophers - Business Deal,Lost,corazonwhitney@gophers.com
2021-10-10,"$40,000",Lostboys - Enterprise Deal,Won,jamesward@lostboys.com
2021-10-02,"$40,000",Incredibles - Enterprise Deal,Won,daletownsend@incredibles.ai
2021-10-26,"$10,000",Squad - Business Deal,Won,jameshickel@squad.net
2021-11-04,"$40,000",Around the Horn - Enterprise Deal,Lost,harveyhibbler@aroundthehorn.ai
2021-10-18,"$10,000",Cupcakes - Business Deal,Won,garyhoff@cupcakes.com
2021-10-13,"$10,000",Afternoon Delight - Business Deal,Won,donnalong@afternoondelight.net
2021-11-25,"$40,000",Gorillas - Enterprise Deal,Lost,louisesmith@gorillas.com
2021-10-24,"$40,000",Gators - Enterprise Deal,Lost,dorisnelson@gators.com
2021-11-11,"$10,000",Bullfighters - Business Deal,Won,olenmiddleton@bullfighters.com
2021-11-25,"$40,000",Rebels - Enterprise Deal,Won,cynthiaballard@rebels.co
2021-11-23,"$40,000",Dothraki - Enterprise Deal,Lost,davidmoore@dothraki.net
2021-11-01,"$10,000",Guardians - Business Deal,Won,georgewebster@guardians.net
2021-11-02,"$40,000",Players - Enterprise Deal,Won,cheriedellinger@players.co
2021-11-29,"$40,000",Flash - Enterprise Deal,Lost,jamesgreene@flash.net
2021-12-01,"$40,000",HeadHunters - Enterprise Deal,Won,charlesterry@headhunters.co
2021-10-23,"$40,000",Pistons - Enterprise Deal,Won,joannfelton@pistons.net
2021-11-17,"$40,000",Rockies - Enterprise Deal,Lost,richardrogers@rockies.co
2021-11-18,"$40,000",Sharks in Suits - Enterprise Deal,Won,simonnebowman@sharksinsuits.net
2021-11-29,"$10,000",Calvary - Business Deal,Lost,jonathanspencer@calvary.co
2021-09-14,"$10,000",Cobras - Business Deal,Won,francisgreene@cobras.net
2021-11-13,"$10,000",Butchers - Business Deal,Won,taylordavis@butchers.co
2021-10-26,"$40,000",Whales - Enterprise Deal,Won,darwinsteele@whales.com
2021-09-30,"$40,000",Maniacs - Enterprise Deal,Won,beverlynunez@maniacs.ai
2021-10-23,"$40,000",Ghosts - Enterprise Deal,Won,kevinslife@ghosts.net
2021-10-30,"$40,000",Best of the Best - Enterprise Deal,Won,vickiroley@bestofthebest.net
2021-11-05,"$10,000",Sultans - Business Deal,Lost,richardgleaves@sultans.co
2021-11-16,"$40,000",Broncos - Enterprise Deal,Won,christopherloera@broncos.ai
2021-10-09,"$10,000",Norules - Business Deal,Won,bobbieletourneau@norules.co
2021-12-01,"$10,000",Arrgh Paddlesports - Business Deal,Lost,evelynbroomfield@arrghpaddlesports.co
2021-11-04,"$10,000",Huckleberry Antioxidants - Business Deal,Lost,virginiawhite@huckleberryantioxidants.co
2021-09-28,"$10,000",Steelers - Business Deal,Won,kristinlowery@steelers.ai
2021-10-19,"$10,000",The Roaring Twenties - Business Deal,Lost,corneliusmiller@theroaringtwenties.co
2021-11-26,"$10,000",Packers - Business Deal,Lost,hazeljohnson@packers.com
2021-10-18,"$40,000",Wombats - Enterprise Deal,Won,thomaslynch@wombats.ai
2021-11-22,"$10,000",United - Business Deal,Lost,laurengabriel@united.com
2021-10-16,"$10,000",Winos - Business Deal,Won,tiffanystammel@winos.com
2021-11-26,"$10,000",Drones - Business Deal,Lost,joshuaaubrey@drones.ai
2021-11-13,"$10,000",Boomers - Business Deal,Won,davidthompson@boomers.ai
2021-11-24,"$40,000",Senators - Enterprise Deal,Lost,ahmedgalvan@senators.co
2021-11-15,"$10,000",Suns - Business Deal,Won,ryanholloway@suns.co
2021-11-07,"$10,000",Drifters - Business Deal,Won,donaldowens@drifters.ai
